tamanho,tempo_serial,tempo_paralelo,speedup
100 x 200,0.080648,1.088326,0.07410279640475373
1000 x 2000,143.757171,33.437015,4.299342240926709
200 x 400,0.617857,0.619637,0.997127350368038
300 x 600,2.587646,1.13443,2.2810098463545567
400 x 800,6.669363,2.291678,2.910253098384677
500 x 1000,13.928832,4.912635,2.835307732001258
600 x 1200,24.703132,7.540069,3.2762474720058927
700 x 1400,45.822836,12.714352,3.604024491377933
800 x 1600,53.002017,26.264682,2.0179957632839414
900 x 1800,94.76875,29.882354,3.171395064793088
