metodo,n,m,p,tempo_segundos,speedup,eficiencia,processos,valido,observacao
Serial,10,20,10,0.00020441199990273162,1.0,1.0,1,True,Baseline sequencial
Paralelo sem agrupamento,10,20,10,0.24395076099995094,0.0008379231901751384,0.0002094807975437846,4,True,Uma tarefa por célula (100 tarefas)
Paralelo por linha,10,20,10,0.21041209399993477,0.0009714840816269573,0.0002428710204067393,4,True,Uma tarefa por linha (10 tarefas)
Paralelo por blocos,10,20,10,0.21476289700001416,0.0009518031408503404,0.0002379507852125851,4,True,Blocos de 20 linhas
Serial,60,120,60,0.050252555000042776,1.0,1.0,1,True,Baseline sequencial
Paralelo sem agrupamento,60,120,60,0.27661004799995226,0.1816729195609389,0.045418229890234724,4,True,Uma tarefa por célula (3600 tarefas)
Paralelo por linha,60,120,60,0.3017892220000249,0.1665154065708769,0.041628851642719227,4,True,Uma tarefa por linha (60 tarefas)
Paralelo por blocos,60,120,60,0.22990038300008564,0.2185840421154238,0.05464601052885595,4,True,Blocos de 20 linhas
Serial,120,240,120,0.2686872490000951,1.0,1.0,1,True,Baseline sequencial
Paralelo sem agrupamento,120,240,120,0.48668141600001036,0.552080355170351,0.13802008879258776,4,True,Uma tarefa por célula (14400 tarefas)
Paralelo por linha,120,240,120,0.48564378799994756,0.5532599317426544,0.1383149829356636,4,True,Uma tarefa por linha (120 tarefas)
Paralelo por blocos,120,240,120,0.3348940719999973,0.8023051808456534,0.20057629521141335,4,True,Blocos de 20 linhas
