n,m,p,tamanho,metodo,tempo_segundos,speedup,eficiencia,processos,validado_com_serial
120,240,120,120 x 240 x 120,Serial,1.82,1.0,1.0,1,True
120,240,120,120 x 240 x 120,Sem agrupamento,3.44,0.52907,0.132268,4,True
120,240,120,120 x 240 x 120,Por linha,1.15,1.582609,0.395652,4,True
120,240,120,120 x 240 x 120,Por blocos,0.88,2.068182,0.517045,4,True
180,360,180,180 x 360 x 180,Serial,6.74,1.0,1.0,1,True
180,360,180,180 x 360 x 180,Sem agrupamento,12.91,0.522076,0.130519,4,True
180,360,180,180 x 360 x 180,Por linha,4.33,1.556582,0.389145,4,True
180,360,180,180 x 360 x 180,Por blocos,3.21,2.099688,0.524922,4,True
240,480,240,240 x 480 x 240,Serial,15.92,1.0,1.0,1,True
240,480,240,240 x 480 x 240,Sem agrupamento,29.4,0.541497,0.135374,4,True
240,480,240,240 x 480 x 240,Por linha,9.84,1.617886,0.404472,4,True
240,480,240,240 x 480 x 240,Por blocos,7.03,2.26458,0.566145,4,True
300,600,300,300 x 600 x 300,Serial,31.55,1.0,1.0,1,True
300,600,300,300 x 600 x 300,Sem agrupamento,58.27,0.541445,0.135361,4,True
300,600,300,300 x 600 x 300,Por linha,19.08,1.653564,0.413391,4,True
300,600,300,300 x 600 x 300,Por blocos,13.21,2.388342,0.597086,4,True
